boletin,fecha_publicacion,fecha_firma,tipo,numero,objeto,monto_max,montos_top,adjudicatarios,cuits,domicilio_en_texto,vigencia_declarada,tags,terminos,texto_bajado,pdf
1138,2024-02-20,2024-01-04,Resolución,RS-2024-1-SI-INNO,Expte. Nº 15471/2023. Obligatoriedad uso GEDO para DECRETOS y RESOLUCIONES,,,,,,,Normativa GDE,,no,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1710442435.pdf
1138,2024-02-20,2024-01-05,Resolución,RS-2024-2-SI-INNO,Resolución anulando Resolución N°: RS-2024-1-SI-INNO,,,,,,,Normativa GDE,,no,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1710442454.pdf
1139,2024-02-26,2024-01-26,Resolución,RS-2024-3-SI-INNO,Expte. N° 15471/2023. Obligatoriedad del uso de GEDO para Decretos y Resoluciones,,,,,,,Normativa GDE,,no,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1710442487.pdf
1139,2024-02-26,2024-01-30,Decreto,DECRE-2024-72-SI-INTEN,"Expte. Nº 995-2024-Llamado Licitación Pública Nº 6/2024-CONTRATACIÓN DEL SERVICIO DE LIMPIEZA, DESOBSTRUCCIÓN Y DESAGOTE DE POZOS CIEGOS Y CONDUCTOS PLUVIALES",78120000.00,78120000.00;34897886.00,,,,,Licitación Pública | Llamado,ordenanza impositiva,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711129997.pdf
1139,2024-02-26,2024-01-30,Decreto,DECRE-2024-73-SI-INTEN,"Expte. Nro. 996-2024.-Llamado a Licitación Privada Nro. 3/2024-CONTRATACIÓN DE HORAS DE UN CAMIÓN ATMOSFÉRICO, UN CAMIÓN HIDROCINÉTICO Y EL SERVICIO DE LIMPIEZA Y DESOBSTRUCCIÓN DE CONDUCTOS PLUVIALES.",11632699.00,11632699.00,,,,,Licitación Privada | Llamado,,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711130127.pdf
1139,2024-02-26,2024-01-30,Decreto,DECRE-2024-74-SI-INTEN,Expte. Nro. 1049-2024-Llamado a Licitación Privada Nro. 7/2024-ADQUISICIÓN DE GUANTES DE LÁTEX.,11632699.00,11632699.00,,,,,Licitación Privada | Llamado,,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711130173.pdf
1139,2024-02-26,2024-01-30,Decreto,DECRE-2024-75-SI-INTEN,Expte. Nro. 1050-2024-Llamado a Licitación Privada Nro. 6/2024-ADQUISICIÓN DE MATERIAL DESCARTABLE.,11632699.00,11632699.00,,,,,Licitación Privada | Llamado,,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711130229.pdf
1139,2024-02-26,2024-01-31,Decreto,DECRE-2024-76-SI-INTEN,Expte. Nº 16816/2013- Permiso de Localización-Santa María de la Salud S.R.L.,,,,,,,Permiso de Localización,ordenanza impositiva | zonificación,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711130269.pdf
1140,2024-03-01,2024-02-01,Decreto,DECRE-2024-77-SI-INTEN,Expte. Nº 16129/2023. CREAR la Subsecretaría de Producción y Trabajo-Designar al Sr. Carlos Javier JAUREGUIBERRY.,,,,,,,Estructura | Designación,,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711130351.pdf
1140,2024-03-01,2024-02-01,Decreto,DECRE-2024-78-SI-INTEN,Expte. N° 866-2024.-Crear la “Secretaría de Desarrollo Humano y Deportes”. Designar al Dr. Agustín José ALGORTA (Legajo Nº 74.876).-,,,,,,,Estructura | Designación,vigencia retroactiva,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711130378.pdf
1140,2024-03-01,2024-02-01,Decreto,DECRE-2024-79-SI-INTEN,Expte. N° 15498-2023.-Renuncia Mónica Constancia GUERRA (Legajo Nº 15.476).,,,,,,,Renuncia,vigencia retroactiva,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711130391.pdf
1140,2024-03-01,2024-02-01,Decreto,DECRE-2024-80-SI-INTEN,"Expte.Nº 859/2023-Otorgar Subsidio a la ""ASOCIACIÓN COOPERADORA CASA DE LA CULTURA DE SAN ISIDRO"".",5950000.00,5950000.00,,,,,Subsidio,rendición de cuentas,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711130418.pdf
1140,2024-03-01,2024-02-01,Decreto,DECRE-2024-81-SI-INTEN,Expediente Nº 16002/2023. Adjudicación Licitación Privada N° 204/2023. Adquisición de “CIRCUITO CORRUGADO COMPLETO – FILTRO VIRAL BACTERIANO”,10080000.00,10080000.00;5046000.00,CIR | DROGUERÍA LUMA S.A | CIUDAD HOSPITALARIA S.R.L,30-66378721-3;30-71165744-0,,,Licitación Privada | Adjudicación,adjudicación,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711130437.pdf
1140,2024-03-01,2024-02-01,Decreto,DECRE-2024-82-SI-INTEN,Expte. Nº 535/2024-Modificar rango de retribución SANCHEZ SORONDO,,,,,,,Recursos Humanos,vigencia retroactiva,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711130463.pdf
1140,2024-03-01,2024-02-02,Decreto,DECRE-2024-83-SI-INTEN,"Expte. Nº 1865/2023- Eximición Tasa por Alumbrado, Limpieza y Servicios Generales-Cuenta Nº 821.998",,,,,,,Eximición,tasa | excepción,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711130650.pdf
1140,2024-03-01,2024-02-02,Decreto,DECRE-2024-84-SI-INTEN,"Expte. Nº 1459/2018- Eximición Tasa por Alumbrado, Limpieza y Servicios Generales Cuenta N° 621.917.",,,,,,,Eximición,tasa | excepción,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711130665.pdf
1140,2024-03-01,2024-02-02,Decreto,DECRE-2024-85-SI-INTEN,Expte. Nº 520/2024-Instruir Sumario Administrativo con suspensión preventiva.,,,,,,,Recursos Humanos | Sumario,,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711131064.pdf
1277,2024-02-26,2024-02-02,Decreto,DECRE-2024-86-SI-INTEN,"Expte. N° 347-2024.- Declarar de Interés Municipal los diferentes festejos patronales, los Vía Crucis vivientes de Semana Santa y los festejos conmemorativos por el día de la Inmaculada Concepción y de la Navidad.-",,,,,,,Interés municipal,,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711131094.pdf
1277,2024-02-26,2024-02-02,Decreto,DECRE-2024-87-SI-INTEN,"Expte. Nº 346-2024.- Declarar de Interés Municipal los actos de inicio del ciclo lectivo, las entregas de diplomas, colaciones de grado, actos patrios, aniversarios y eventos de fin de año.-",,,,,,,Interés municipal,,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711131118.pdf
1140,2024-03-01,2024-02-05,Decreto,DECRE-2024-88-SI-INTEN,Expte. Nº 514/2024- Cese por jubilación del trabajador Víctor Hugo MENÉNDEZ.,,,,,,,Recursos Humanos | Cese | Jubilación,,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711131218.pdf
1277,2024-02-26,2024-02-05,Decreto,DECRE-2024-89-SI-INTEN,"Expte. N° 345/2024.- Declarar de Interés Municipal distintos festejos patrios, conmemoraciones por fallecimientos de próceres, hitos históricos, aniversarios de conflictos bélicos y demás efemérides.-",,,,,,,Interés municipal,,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1712250890.pdf
1140,2024-03-01,2024-02-05,Decreto,DECRE-2024-90-SI-INTEN,Expte. Nº 24/2024- Otorgar pensiones graciables.,,,,,,,Pensiones graciables,,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1712250970.pdf
1140,2024-03-01,2024-02-05,Decreto,DECRE-2024-91-SI-INTEN,Expte. Nº 872/2024- Limitar funciones agente Luciano Luis IRIARTE.,,,,,,,Recursos Humanos | Limitar,vigencia retroactiva,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711131475.pdf
1140,2024-03-01,2024-02-05,Decreto,DECRE-2024-92-SI-INTEN,"Expte. Nº 17111/2014- Registrar prórroga de locación-Don Bosco Nº 43, San Isidro.",,,,,,,Registrar | Prórroga | Contrato | Locación,,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711131491.pdf
1140,2024-03-01,2024-02-05,Decreto,DECRE-2024-93-SI-INTEN,Expte. N° 529-2024.- Limitar funciones de Directora de Capital Humano a la Lic. Beatriz Angélica PELLET y Trasladarla a la Secretaría de Desarrollo Humano y Deportes.- Designar a Ángela Gabriela MILANO como Directora de Capital Humano.-,,,,,,,Recursos Humanos | Limitar,vigencia retroactiva,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711131502.pdf
1140,2024-03-01,2024-02-05,Decreto,DECRE-2024-94-SI-INTEN,Expediente Nº 250/2024- Trasladar en comisión a los Sres. Federico BEREZIUK y Eduardo A. LA GROTTERIA.,,,,,,,Recursos Humanos | Trasladar,vigencia retroactiva,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711131529.pdf
1140,2024-03-01,2024-02-05,Decreto,DECRE-2024-95-SI-INTEN,"Expte. N° 11366-2015.- Registrar prórroga Contrato de Locación. Inmueble ubicado en la calle Blanco Encalada N° 2490 -esquina Padre Acevedo, Local 2, Anexo 9- de la ciudad de Boulogne, jurisdicción de este Partido.-",,,,,,,Registrar | Prórroga | Contrato | Locación,,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711131550.pdf
1140,2024-03-01,2024-02-05,Decreto,DECRE-2024-96-SI-INTEN,Expte. Nº 521/2024- Trasladar en comisión a la Sra. María Laura GONZÁLEZ (Legajo N° 57374) .-,,,,,,,Recursos Humanos | Trasladar,vigencia retroactiva,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711131563.pdf
1140,2024-03-01,2024-02-07,Decreto,DECRE-2024-97-SI-INTEN,"Expte. Nº 386/2024- Adjudicación Privada Nº 1/24 ""Material Descartable"".",34520800.00,34520800.00,CIUDAD HOSPITALARIA S.R.L,30-71165744-0,,,Licitación privada | Adjudicación,adjudicación,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711131584.pdf
1140,2024-03-01,2024-02-07,Decreto,DECRE-2024-98-SI-INTEN,Expediente Nº 1402-2024.- Llamado a Licitación Privada Nro. 8/2024 para la adquisición de “ALIMENTACIÓN ENTERAL”.-,11632699.00,11632699.00,,,,,Licitación privada | Llamado,,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711131606.pdf
1140,2024-03-01,2024-02-07,Decreto,DECRE-2024-99-SI-INTEN,Expte. Nro. 1038-2024.- Adjudicación Concurso de precios N° 6/2024 para la adquisición de “HIPOCLORITO DE SODIO (14.500 lts.) Y ÁCIDO AL 19% (10.000 lts.)”,11425000.00,11425000.00,NEW CLOR ARG S.R.L,30-70798585-9,,,Concurso de precios | Adjudicación,adjudicación,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711131621.pdf
1140,2024-03-01,2024-02-08,Decreto,DECRE-2024-100-SI-INTEN,Expte. N° 874-2024.- Crear la “Subsecretaría de Proyectos Urbanos”.- Designar a Dino Nicolás BUZZI en el cargo y función de Subsecretario de Proyectos Urbanos.-,,,,,,,Recursos humanos | Crear | Subsecretaría | Designar,vigencia retroactiva,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711131634.pdf
1140,2024-03-01,2024-02-08,Decreto,DECRE-2024-101-SI-INTEN,"Expte. Nº 12535/2023-Autorizar al Sr. Juan María Altgelt, a la extracción de dos (2) ejemplares arbóreos.-",,,,,,,Forestación | Extracción,zonificación,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711131649.pdf
1277,2024-02-26,2024-02-08,Decreto,DECRE-2024-102-SI-INTEN,"Expte. Nº 1288/2024- Declaración Interés ""Verano en San Isidro-2024-"".",,,,,,,Interés municipal,,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711131664.pdf
1140,2024-03-01,2024-02-08,Decreto,DECRE-2024-103-SI-INTEN,Expte. Nº 256/2024- Rectificar el artículo 2° del Decreto N° 68 de fecha 26 de enero del 2024.,,,,,,,Rectificar,,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711131677.pdf
1140,2024-03-01,2024-02-08,Decreto,DECRE-2024-104-SI-INTEN,"Expte. N° 3601/2020.- Registrar Contrato de Colaboración y Asistencia Técnica entre la Municipalidad de San Isidro y la Universidad Nacional de General San Martín, con fecha 29/01/2024.-",,,,,,,Registrar | Contrato,,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711131693.pdf
1140,2024-03-01,2024-02-08,Decreto,DECRE-2024-105-SI-INTEN,"Expte. Nro. 382/2024 (Cuerpos 0, 2 y 3)- Adjudicación Licitación Privada Nº 2/2024- Provisión de Medicamentos.",21895649.00,21895649.00,DNM FARMA S.A | DROGUERIA LUMA S.A | DROGUERÍA VARADERO S.A | CIUDAD HOSPITALARIA S.R.L | SUIZO ARGENTINA S.A,30-71013847-4;30-66378721-3;30-70845052-5;30-71165744-0;30-51696843-1,,,Licitación privada | Adjudicación,adjudicación,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711131746.pdf
1140,2024-03-01,2024-02-08,Decreto,DECRE-2024-106-SI-INTEN,"Expte. Nº 339/2024- Adjudicación Concurso de Precios 2/24 ""Jeringas Descartables"".",10410000.00,10410000.00,SUIZO ARGENTINA S.A,30-51696843-1,,,Concurso de precios | Adjudicación,adjudicación,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711131769.pdf
1140,2024-03-01,2024-02-09,Decreto,DECRE-2024-107-SI-INTEN,"Expte. Nro. 1001/2024.- Adjudicación de Licitación Privada Nº 4/2024, para el “ALQUILER DE ESTRUCTURAS METÁLICAS”.-",17182000.00,17182000.00,RENTEK S.A,30-71080239-0,,,Licitación privada | Adjudicación,adjudicación,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711131783.pdf
1140,2024-03-01,2024-02-09,Decreto,DECRE-2024-108-SI-INTEN,Expte. Nº 1003/2024.- Adjudicación Concurso de Precios Nº 7/24 para el alquiler de equipo de sonido y material para iluminación.-,2528900.00,2528900.00;2250000.00,RENTEK S.A | INCLÁN JUAN JOSÉ,30-71080239-0;20-13011367-3,,,Concurso de precios | Adjudicación,adjudicación,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711131812.pdf
1140,2024-03-01,2024-02-09,Decreto,DECRE-2024-109-SI-INTEN,Expte. N° 449/2024.- OTORGAR un subsidio a la “UNIÓN VECINAL JUAN BAUTISTA ALBERDI”.-,30000000.00,30000000.00;2500000.00,,,,,Subsidio,,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711131829.pdf
