boletin,fecha_publicacion,fecha_firma,tipo,numero,objeto,monto_max,montos_top,adjudicatarios,cuits,domicilio_en_texto,vigencia_declarada,tags,terminos,texto_bajado,pdf
1139,2024-02-26,2024-01-30,Decreto,DECRE-2024-72-SI-INTEN,"Expte. Nº 995-2024-Llamado Licitación Pública Nº 6/2024-CONTRATACIÓN DEL SERVICIO DE LIMPIEZA, DESOBSTRUCCIÓN Y DESAGOTE DE POZOS CIEGOS Y CONDUCTOS PLUVIALES",78120000.00,78120000.00;34897886.00,,,,,Licitación Pública | Llamado,ordenanza impositiva,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711129997.pdf
1139,2024-02-26,2024-01-31,Decreto,DECRE-2024-76-SI-INTEN,Expte. Nº 16816/2013- Permiso de Localización-Santa María de la Salud S.R.L.,,,,,,,Permiso de Localización,ordenanza impositiva | zonificación,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711130269.pdf
1140,2024-03-01,2024-02-01,Decreto,DECRE-2024-78-SI-INTEN,Expte. N° 866-2024.-Crear la “Secretaría de Desarrollo Humano y Deportes”. Designar al Dr. Agustín José ALGORTA (Legajo Nº 74.876).-,,,,,,,Estructura | Designación,vigencia retroactiva,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711130378.pdf
1140,2024-03-01,2024-02-01,Decreto,DECRE-2024-79-SI-INTEN,Expte. N° 15498-2023.-Renuncia Mónica Constancia GUERRA (Legajo Nº 15.476).,,,,,,,Renuncia,vigencia retroactiva,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711130391.pdf
1140,2024-03-01,2024-02-01,Decreto,DECRE-2024-80-SI-INTEN,"Expte.Nº 859/2023-Otorgar Subsidio a la ""ASOCIACIÓN COOPERADORA CASA DE LA CULTURA DE SAN ISIDRO"".",5950000.00,5950000.00,,,,,Subsidio,rendición de cuentas,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711130418.pdf
1140,2024-03-01,2024-02-01,Decreto,DECRE-2024-81-SI-INTEN,Expediente Nº 16002/2023. Adjudicación Licitación Privada N° 204/2023. Adquisición de “CIRCUITO CORRUGADO COMPLETO – FILTRO VIRAL BACTERIANO”,10080000.00,10080000.00;5046000.00,CIR | DROGUERÍA LUMA S.A | CIUDAD HOSPITALARIA S.R.L,30-66378721-3;30-71165744-0,,,Licitación Privada | Adjudicación,adjudicación,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711130437.pdf
1140,2024-03-01,2024-02-01,Decreto,DECRE-2024-82-SI-INTEN,Expte. Nº 535/2024-Modificar rango de retribución SANCHEZ SORONDO,,,,,,,Recursos Humanos,vigencia retroactiva,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711130463.pdf
1140,2024-03-01,2024-02-02,Decreto,DECRE-2024-83-SI-INTEN,"Expte. Nº 1865/2023- Eximición Tasa por Alumbrado, Limpieza y Servicios Generales-Cuenta Nº 821.998",,,,,,,Eximición,tasa | excepción,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711130650.pdf
1140,2024-03-01,2024-02-02,Decreto,DECRE-2024-84-SI-INTEN,"Expte. Nº 1459/2018- Eximición Tasa por Alumbrado, Limpieza y Servicios Generales Cuenta N° 621.917.",,,,,,,Eximición,tasa | excepción,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711130665.pdf
1140,2024-03-01,2024-02-05,Decreto,DECRE-2024-91-SI-INTEN,Expte. Nº 872/2024- Limitar funciones agente Luciano Luis IRIARTE.,,,,,,,Recursos Humanos | Limitar,vigencia retroactiva,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711131475.pdf
